is_vuln,num_commits,num_unique_authors,file_age,midnight_commits,risky_commits,seldom_contributors,num_lines,commit_frequency,busy_file,extension_0,extension_1,extension_2,extension_3,extension_4,extension_5,extension_6,extension_7,extension_8,extension_9,extension_10
1,7,4,2029,1,0,3,452,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,101,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,257,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,8,5,2029,1,0,4,276,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,10,6,2029,1,0,4,214,0.0049,0,0,0,0,0,1,1,1,1,1,0,1
1,5,3,1625,0,0,1,357,0.0031,0,0,0,0,0,1,1,1,1,1,0,1
1,6,4,1680,0,0,2,591,0.0036,0,0,0,0,0,1,1,1,1,1,0,1
1,13,6,1720,0,0,4,2751,0.0076,0,0,0,0,0,1,1,1,1,1,0,1
1,2,2,1080,0,0,0,2680,0.0019,0,0,0,0,0,1,1,1,1,1,0,1
1,8,4,1720,0,0,1,1452,0.0047,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,1080,0,0,0,1406,0.0009,0,0,0,0,0,1,1,1,1,1,0,1
1,9,4,1720,0,0,2,731,0.0052,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,1080,0,0,0,683,0.0009,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,1080,0,0,0,1055,0.0009,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,1720,0,0,1,1053,0.0035,0,0,0,0,0,1,1,1,1,1,0,1
1,12,7,1680,0,0,4,836,0.0071,0,0,0,0,0,1,1,1,1,1,0,1
1,8,4,2029,1,0,2,401,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,486,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,92,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,12,5,1080,0,0,3,569,0.0111,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,1720,0,0,1,533,0.0035,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,1080,0,0,0,535,0.0009,0,0,0,0,0,1,1,1,1,1,0,1
1,76,16,2029,3,0,10,739,0.0375,1,0,0,0,0,0,1,0,1,0,1,1
1,39,11,2029,1,0,6,852,0.0192,1,0,0,0,0,1,1,1,1,1,0,1
1,3,3,1209,0,0,0,683,0.0025,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,1034,0,0,0,871,0.001,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,156,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,10,6,2029,1,0,4,254,0.0049,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,222,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,2,2,1080,0,0,0,371,0.0019,0,0,0,0,0,1,1,1,1,1,0,1
1,2,2,1080,0,0,0,310,0.0019,0,0,0,0,0,1,1,1,1,1,0,1
1,13,7,2029,1,0,5,525,0.0064,0,0,0,0,0,1,1,1,1,1,0,1
1,3,3,1080,0,0,0,122,0.0028,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,84,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,3,3,1204,0,0,0,415,0.0025,0,0,0,0,0,1,1,1,1,1,0,1
1,4,3,1204,0,0,2,651,0.0033,0,0,0,0,0,1,1,1,1,1,0,1
1,14,7,1204,0,0,3,890,0.0116,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,793,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,863,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,13,7,2029,1,0,3,389,0.0064,0,0,0,0,0,1,1,1,1,1,0,1
1,21,7,261,0,0,4,1317,0.0805,0,0,1,0,1,1,1,1,1,1,0,0
1,6,2,208,0,0,1,121,0.0288,0,0,1,0,1,1,1,1,1,1,0,0
0,1,1,992,0,0,0,95,0.001,0,0,1,0,1,1,1,1,0,0,1,0
0,1,1,978,0,0,0,68,0.001,0,0,1,0,1,1,1,1,0,0,1,0
0,2,1,919,0,0,0,33,0.0022,0,0,1,0,1,1,1,1,0,0,1,0
0,3,3,1680,0,0,0,44,0.0018,0,0,1,0,1,1,1,1,0,0,1,0
0,2,2,832,0,0,0,948,0.0024,0,0,0,0,0,1,1,1,1,1,0,1
0,1,1,832,0,0,0,72,0.0012,0,0,1,0,1,1,1,1,0,0,1,0
0,9,4,1160,0,0,2,1677,0.0078,0,0,0,0,0,1,1,1,1,1,0,1
0,2,2,1680,0,0,0,72,0.0012,0,0,1,0,1,1,1,1,0,0,1,0
0,3,3,1247,0,0,0,289,0.0024,0,0,0,0,0,1,1,1,1,1,0,1
0,6,3,2029,1,0,2,151,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,6,3,2029,1,0,2,83,0.003,0,0,0,0,0,1,1,1,1,1,0,1
0,4,2,1720,0,0,1,21,0.0023,0,0,0,0,0,1,1,1,1,1,0,1
